,ID,lat_MERIT,lon_MERIT,area_MERIT,Bsn_cnt_lat,Bsn_cnt_lon,river,station,country,lat_SHEDS,lon_SHEDS,area_GRDC,Error,Comment,ups_num_15min,basin_15min,area_CaMa_15min,ups_num_06min,basin_06min,area_CaMa_06min,ups_num_03min,basin_03min,area_CaMa_03min,ups_num_01min,basin_01min,area_CaMa_01min
64,1259151,-30.058000000000003,28.508000000000003,10740.2,-29.389,28.846,ORANGE,WHITEHALL (66819304),LS,-30.063000000000002,28.508000000000003,10774.0,0.0,,0.0,21,10961.59765625,0.0,21,10773.01953125,0.0,21,10732.9365234375,0.0,21,10732.9423828125
65,1259201,-24.825,17.158,4786.8,-24.934,16.75,HUDUP,BRECKHORN (64812007),,-24.833000000000002,17.167,4767.0,0.0,,1.0,21,4249.13427734375,0.0,21,4818.9814453125,0.0,21,4800.5986328125,0.0,21,4785.85302734375
66,1259250,-29.408,27.541999999999998,1008.6,-29.381,27.745,SOUTH PHUTHIATSANA,MASIANOKENG (66818024),LS,-29.401999999999997,27.56,1003.2,0.01,,0.0,21,1120.230224609375,0.0,21,1049.935302734375,0.0,21,1007.5685424804688,0.0,21,1007.5667724609375
67,1259270,-24.508000000000003,15.775,1478.0,-24.448,16.222,TSAUCHAB,SESRIEM (64722401),,-24.517,15.767000000000001,1476.0,0.0,,1.0,1842,1460.623046875,1.0,1842,1427.2513427734375,0.0,1842,1468.076904296875,0.0,1842,1469.51025390625
68,1259320,-29.475,28.642,3227.8,-29.119,28.589000000000002,MALIBAMATSO,PARAY (66819308),LS,-29.483,28.656999999999996,3236.0,0.0,,0.0,21,3231.5029296875,0.0,21,3232.49658203125,0.0,21,3231.61962890625,0.0,21,3226.8857421875
69,1259360,-29.558000000000003,28.158,1107.6,-29.369,28.154,SENQUNYANE,MARAKABEI (66819317),LS,-29.56,28.09,1107.0,0.0,,1.0,21,991.034423828125,0.0,21,1139.4849853515625,0.0,21,1080.3245849609375,0.0,21,1080.3216552734375
70,1259451,-22.158,18.825,4530.4,-21.951999999999998,18.121,BLACK NOSSOB,HENOPSRUS (64813201),,-22.15,18.833,4630.0,-0.02,,1.0,21,4508.5986328125,0.0,21,4689.8115234375,0.0,21,4549.60546875,0.0,21,4520.1884765625
71,1259800,-29.291999999999998,28.991999999999997,1679.8,-29.21,29.197,ORANGE,MOKHOTLONG (66819306),LS,-29.294,28.998,1637.3,0.03,,0.0,21,2046.4315185546875,0.0,21,1676.944580078125,1.0,21,1672.0771484375,0.0,21,1676.8826904296875
72,1286401,-7.792000000000001,35.725,2895.8,-8.214,35.55,LITTLE RUAHA,IRINGA NDIUKA (55232302),TZ,-7.7829999999999995,35.717,3281.0,-0.12,,0.0,83,3005.92236328125,0.0,83,2927.06298828125,0.0,83,2910.13720703125,0.0,83,2899.316650390625
73,1286402,-8.042,35.725,1861.7,-8.333,35.404,LITTLE RUAHA,IWAWA (55232339),TZ,-8.05,35.683,1825.0,0.02,,0.0,83,1875.3138427734375,1.0,83,1689.3948974609375,0.0,83,1874.331787109375,0.0,83,1859.28125
